StationName,DateTime,NO2,O3,SO2,CO,PM10,PM2.5
Kwun Tong,"Fri, 10 Nov 2017 22:00:00 +0800",28.5,101.5,6.8,-,57.0,36.0
Kwun Tong,"Fri, 10 Nov 2017 23:00:00 +0800",27.1,90.6,5.1,-,51.1,29.1
Kwun Tong,"Sat, 11 Nov 2017 00:00:00 +0800",36.3,77.1,4.6,-,46.0,25.1
Kwun Tong,"Sat, 11 Nov 2017 01:00:00 +0800",26.0,75.3,4.5,-,35.2,21.3
Kwun Tong,"Sat, 11 Nov 2017 02:00:00 +0800",16.5,74.4,3.4,-,34.0,20.0
Kwun Tong,"Sat, 11 Nov 2017 03:00:00 +0800",15.7,78.2,3.5,-,35.1,16.1
Kwun Tong,"Sat, 11 Nov 2017 04:00:00 +0800",11.7,88.5,8.0,-,36.0,18.0
Kwun Tong,"Sat, 11 Nov 2017 05:00:00 +0800",19.5,84.2,4.9,-,41.9,19.0
Kwun Tong,"Sat, 11 Nov 2017 06:00:00 +0800",19.2,88.1,4.5,-,39.0,22.0
Kwun Tong,"Sat, 11 Nov 2017 07:00:00 +0800",43.0,72.8,6.3,-,42.0,24.0
Kwun Tong,"Sat, 11 Nov 2017 08:00:00 +0800",36.8,61.4,7.2,-,44.0,29.9
Kwun Tong,"Sat, 11 Nov 2017 09:00:00 +0800",45.4,57.3,7.3,-,49.9,26.1
Kwun Tong,"Sat, 11 Nov 2017 10:00:00 +0800",40.6,71.1,8.4,-,57.9,31.0
Sham Shui Po,"Fri, 10 Nov 2017 11:00:00 +0800",64.2,62.6,3.6,-,28.3,14.3
Sham Shui Po,"Fri, 10 Nov 2017 12:00:00 +0800",78.3,56.7,3.5,-,23.6,13.5
Sham Shui Po,"Fri, 10 Nov 2017 13:00:00 +0800",71.8,74.9,3.2,-,30.4,13.5
Sham Shui Po,"Fri, 10 Nov 2017 14:00:00 +0800",90.2,66.4,3.5,-,36.1,15.8
Sham Shui Po,"Fri, 10 Nov 2017 15:00:00 +0800",88.4,70.2,8.0,-,34.9,21.6
Sham Shui Po,"Fri, 10 Nov 2017 16:00:00 +0800",97.1,68.4,14.3,-,35.7,22.4
Sham Shui Po,"Fri, 10 Nov 2017 17:00:00 +0800",84.4,76.1,7.4,-,45.2,25.7
Sham Shui Po,"Fri, 10 Nov 2017 18:00:00 +0800",114.6,44.3,10.0,-,49.0,27.6
Sham Shui Po,"Fri, 10 Nov 2017 19:00:00 +0800",144.2,18.4,16.5,-,51.4,26.8
Sham Shui Po,"Fri, 10 Nov 2017 20:00:00 +0800",94.6,66.6,7.0,-,58.7,32.0
Sham Shui Po,"Fri, 10 Nov 2017 21:00:00 +0800",69.2,86.8,6.4,-,60.0,36.4
Sham Shui Po,"Fri, 10 Nov 2017 22:00:00 +0800",68.8,74.0,5.8,-,52.8,33.1
Sham Shui Po,"Fri, 10 Nov 2017 23:00:00 +0800",62.0,69.9,4.3,-,44.7,28.9
Sham Shui Po,"Sat, 11 Nov 2017 00:00:00 +0800",42.2,81.4,3.8,-,35.0,23.6
Sham Shui Po,"Sat, 11 Nov 2017 01:00:00 +0800",41.8,73.3,3.5,-,28.5,20.9
Sham Shui Po,"Sat, 11 Nov 2017 02:00:00 +0800",27.0,81.8,3.2,-,28.1,20.7
Sham Shui Po,"Sat, 11 Nov 2017 03:00:00 +0800",22.1,83.2,3.0,-,28.5,18.6
Sham Shui Po,"Sat, 11 Nov 2017 04:00:00 +0800",64.5,40.6,10.3,-,24.0,13.4
Sham Shui Po,"Sat, 11 Nov 2017 05:00:00 +0800",112.7,0.8,6.6,-,22.9,13.6
Sham Shui Po,"Sat, 11 Nov 2017 06:00:00 +0800",55.0,57.2,4.7,-,28.8,19.6
Sham Shui Po,"Sat, 11 Nov 2017 07:00:00 +0800",50.6,67.6,5.2,-,29.6,21.3
Sham Shui Po,"Sat, 11 Nov 2017 08:00:00 +0800",64.5,53.7,5.7,-,33.3,22.9
Sham Shui Po,"Sat, 11 Nov 2017 09:00:00 +0800",71.1,49.3,6.3,-,36.7,21.8
Sham Shui Po,"Sat, 11 Nov 2017 10:00:00 +0800",85.1,42.3,6.4,-,39.5,23.5
Kwai Chung,"Fri, 10 Nov 2017 11:00:00 +0800",54.1,85.2,4.7,-,44.0,25.0
Kwai Chung,"Fri, 10 Nov 2017 12:00:00 +0800",53.2,97.1,4.2,-,40.9,24.7
Kwai Chung,"Fri, 10 Nov 2017 13:00:00 +0800",72.5,77.3,3.7,-,36.4,35.0
Kwai Chung,"Fri, 10 Nov 2017 14:00:00 +0800",71.2,80.7,6.9,-,42.7,16.2
Kwai Chung,"Fri, 10 Nov 2017 15:00:00 +0800",159.6,14.8,26.3,-,80.3,43.3
Kwai Chung,"Fri, 10 Nov 2017 16:00:00 +0800",181.7,26.0,37.0,-,88.1,47.2
Kwai Chung,"Fri, 10 Nov 2017 17:00:00 +0800",179.5,10.2,25.3,-,77.0,40.1
Kwai Chung,"Fri, 10 Nov 2017 18:00:00 +0800",172.7,4.3,25.3,-,60.2,33.7
Kwai Chung,"Fri, 10 Nov 2017 19:00:00 +0800",191.9,2.9,37.8,-,69.5,43.1
Kwai Chung,"Fri, 10 Nov 2017 20:00:00 +0800",111.4,49.4,16.2,-,60.4,34.3
Kwai Chung,"Fri, 10 Nov 2017 21:00:00 +0800",69.9,76.7,6.9,-,53.8,34.1
Kwai Chung,"Fri, 10 Nov 2017 22:00:00 +0800",65.4,83.9,6.2,-,48.0,30.9
Kwai Chung,"Fri, 10 Nov 2017 23:00:00 +0800",58.9,76.6,5.1,-,37.5,25.7
Kwai Chung,"Sat, 11 Nov 2017 00:00:00 +0800",35.3,91.5,4.3,-,31.0,17.6
Kwai Chung,"Sat, 11 Nov 2017 01:00:00 +0800",21.5,99.5,3.9,-,30.0,18.4
Kwai Chung,"Sat, 11 Nov 2017 02:00:00 +0800",30.6,78.4,3.4,-,29.6,17.4
Kwai Chung,"Sat, 11 Nov 2017 03:00:00 +0800",26.3,81.8,2.7,-,29.5,18.9
Kwai Chung,"Sat, 11 Nov 2017 04:00:00 +0800",24.4,80.9,3.5,-,29.1,6.2
Kwai Chung,"Sat, 11 Nov 2017 05:00:00 +0800",28.1,81.4,3.4,-,31.0,8.2
Kwai Chung,"Sat, 11 Nov 2017 06:00:00 +0800",29.4,86.8,3.4,-,34.5,24.8
Kwai Chung,"Sat, 11 Nov 2017 07:00:00 +0800",37.7,81.1,4.8,-,41.7,22.7
Kwai Chung,"Sat, 11 Nov 2017 08:00:00 +0800",61.4,58.5,5.0,-,45.2,39.3
Kwai Chung,"Sat, 11 Nov 2017 09:00:00 +0800",61.4,60.5,5.7,-,47.2,30.7
Kwai Chung,"Sat, 11 Nov 2017 10:00:00 +0800",60.5,74.1,7.2,-,58.0,30.6
Tsuen Wan,"Fri, 10 Nov 2017 11:00:00 +0800",38.6,92.6,9.9,502.2,49.6,35.8
Tsuen Wan,"Fri, 10 Nov 2017 12:00:00 +0800",40.5,98.7,9.5,505.8,42.0,27.0
Tsuen Wan,"Fri, 10 Nov 2017 13:00:00 +0800",37.9,97.4,8.9,442.3,34.7,23.4
Tsuen Wan,"Fri, 10 Nov 2017 14:00:00 +0800",87.6,62.8,12.4,556.8,31.6,20.1
Tsuen Wan,"Fri, 10 Nov 2017 15:00:00 +0800",116.8,48.2,37.2,553.2,58.6,30.4
Tsuen Wan,"Fri, 10 Nov 2017 16:00:00 +0800",143.4,74.7,55.7,614.8,95.4,57.2
Tsuen Wan,"Fri, 10 Nov 2017 17:00:00 +0800",117.3,121.5,30.0,614.6,105.4,65.0
Tsuen Wan,"Fri, 10 Nov 2017 18:00:00 +0800",130.5,46.5,19.3,622.0,86.0,46.6
Tsuen Wan,"Fri, 10 Nov 2017 19:00:00 +0800",151.1,21.4,22.0,680.2,73.4,38.3
Tsuen Wan,"Fri, 10 Nov 2017 20:00:00 +0800",165.3,7.5,33.3,810.8,75.4,46.6
Tsuen Wan,"Fri, 10 Nov 2017 21:00:00 +0800",70.0,77.0,13.8,720.6,69.4,46.1
Tsuen Wan,"Fri, 10 Nov 2017 22:00:00 +0800",46.5,99.3,12.4,649.4,54.9,36.1
Tsuen Wan,"Fri, 10 Nov 2017 23:00:00 +0800",36.7,100.5,11.1,572.8,51.5,35.6
Tsuen Wan,"Sat, 11 Nov 2017 00:00:00 +0800",38.5,90.7,10.2,530.8,44.8,31.4
Tsuen Wan,"Sat, 11 Nov 2017 01:00:00 +0800",36.7,89.6,10.0,457.6,34.7,21.6
Tsuen Wan,"Sat, 11 Nov 2017 02:00:00 +0800",23.3,94.6,9.6,434.1,35.0,22.7
Tsuen Wan,"Sat, 11 Nov 2017 03:00:00 +0800",25.0,80.7,9.3,447.5,33.4,21.3
Tsuen Wan,"Sat, 11 Nov 2017 04:00:00 +0800",-,-,-,-,33.1,22.1
Tsuen Wan,"Sat, 11 Nov 2017 05:00:00 +0800",18.5,73.0,9.8,468.9,33.6,23.5
Tsuen Wan,"Sat, 11 Nov 2017 06:00:00 +0800",26.0,68.3,8.9,475.6,31.7,21.2
Tsuen Wan,"Sat, 11 Nov 2017 07:00:00 +0800",47.5,50.8,9.2,527.9,27.4,16.5
Tsuen Wan,"Sat, 11 Nov 2017 08:00:00 +0800",80.8,32.8,10.4,659.5,36.0,23.3
Tsuen Wan,"Sat, 11 Nov 2017 09:00:00 +0800",68.1,58.8,12.8,734.0,48.2,32.0
Tsuen Wan,"Sat, 11 Nov 2017 10:00:00 +0800",51.0,82.6,13.7,678.9,54.6,35.8
Tseung Kwan O,"Fri, 10 Nov 2017 11:00:00 +0800",14.0,110.0,7.3,714.6,31.0,15.4
Tseung Kwan O,"Fri, 10 Nov 2017 12:00:00 +0800",12.7,120.4,7.7,715.5,28.2,15.3
Tseung Kwan O,"Fri, 10 Nov 2017 13:00:00 +0800",10.5,132.1,7.6,721.6,29.6,11.2
Tseung Kwan O,"Fri, 10 Nov 2017 14:00:00 +0800",13.1,142.9,8.0,748.9,32.1,16.7
Tseung Kwan O,"Fri, 10 Nov 2017 15:00:00 +0800",13.8,150.6,8.2,773.0,33.9,20.5
Tseung Kwan O,"Fri, 10 Nov 2017 16:00:00 +0800",17.5,140.1,9.9,754.0,38.3,23.3
Tseung Kwan O,"Fri, 10 Nov 2017 17:00:00 +0800",25.2,126.8,11.5,762.4,42.5,26.5
Tseung Kwan O,"Fri, 10 Nov 2017 18:00:00 +0800",19.0,143.1,8.3,792.0,42.3,22.0
Tseung Kwan O,"Fri, 10 Nov 2017 19:00:00 +0800",19.0,153.3,9.1,867.6,40.7,21.8
Tseung Kwan O,"Fri, 10 Nov 2017 20:00:00 +0800",28.5,133.7,13.6,886.4,46.1,24.6
Tseung Kwan O,"Fri, 10 Nov 2017 21:00:00 +0800",18.1,148.7,10.6,847.2,50.9,32.8
Tseung Kwan O,"Fri, 10 Nov 2017 22:00:00 +0800",14.2,136.6,10.8,784.9,49.3,32.4
Tseung Kwan O,"Fri, 10 Nov 2017 23:00:00 +0800",13.8,120.4,8.5,731.0,45.1,28.7
Tseung Kwan O,"Sat, 11 Nov 2017 00:00:00 +0800",13.9,110.6,8.0,725.1,34.1,22.7
Tseung Kwan O,"Sat, 11 Nov 2017 01:00:00 +0800",13.2,98.2,8.0,768.9,27.8,17.5
Tseung Kwan O,"Sat, 11 Nov 2017 02:00:00 +0800",21.1,83.3,7.2,1006.0,24.5,13.6
Tseung Kwan O,"Sat, 11 Nov 2017 03:00:00 +0800",18.9,84.1,7.0,859.7,23.8,12.7
Tseung Kwan O,"Sat, 11 Nov 2017 04:00:00 +0800",18.1,92.2,7.3,733.3,24.5,12.5
Tseung Kwan O,"Sat, 11 Nov 2017 05:00:00 +0800",16.9,90.1,7.0,736.1,28.3,14.6
Tseung Kwan O,"Sat, 11 Nov 2017 06:00:00 +0800",27.4,71.1,6.2,769.2,34.2,17.0
